Station,Year,Month,Temperature,Lep  (cell ml-1),DIN (¦ÌM),DIP (¦ÌM),N:P,Turbidity,Tchla,Salinity
WM3,2000,4,21.2 ,7 ,26.43 ,0.84 ,31.51,7,1,29.7
WM3,2000,5,25.7 ,42 ,18.86 ,0.71 ,26.57,5.9,3.8,30.0
WM3,2000,7,27.8 ,71 ,15.93 ,0.26 ,61.72,17.4,10,28.5
WM3,2001,5,25.5 ,21 ,22.36 ,0.61 ,36.48,7.8,5.3,30.3
WM3,2001,7,27.4 ,64 ,38.36 ,0.77 ,49.54,6.8,2.3,22.7
WM3,2001,8,27.5 ,198 ,19.29 ,0.26 ,74.73,8,13,26.2
WM3,2002,7,27.0 ,7 ,30.50 ,0.19 ,157.58,9.2,17,25.0
WM3,2002,8,25.6 ,14 ,14.64 ,0.23 ,64.85,15.3,7.9,31.0
WM3,2002,9,26.4 ,114 ,26.50 ,0.10 ,273.83,8.7,17,25.9
WM3,2003,6,27.6 ,28 ,68.57 ,0.94 ,73.24,5.2,2.7,18.5
WM3,2003,7,26.6 ,35 ,32.21 ,0.29 ,110.87,5.3,23,26.5
WM3,2003,8,26.6 ,192 ,20.43 ,0.45 ,45.20,4.2,15,30.8
WM3,2004,4,23.5 ,21 ,29.00 ,1.16 ,24.95,9.4,5.3,32.6
WM3,2004,6,29.2 ,64 ,39.64 ,0.58 ,68.22,9.4,8.2,27.4
WM3,2004,7,26.5 ,149 ,45.00 ,0.65 ,69.69,9.3,7,24.8
WM3,2004,8,26.6 ,425 ,23.36 ,0.68 ,34.45,9.4,13,30.2
WM3,2004,11,24.4 ,53 ,19.71 ,0.81 ,24.43,12.2,0.9,32.4
WM3,2005,7,26.8 ,212 ,37.50 ,0.77 ,48.40,10.7,7.5,25.7
WM3,2005,8,26.9 ,28 ,25.00 ,0.87 ,28.68,12,1.9,29.7
WM3,2005,11,25.6 ,42 ,20.93 ,0.94 ,22.35,11.4,1.7,32.4
WM3,2006,7,28.2 ,127 ,39.79 ,0.23 ,176.04,8.6,11,21.5
WM3,2006,9,26.4 ,191 ,28.79 ,1.19 ,24.10,14.4,2.9,30.1
WM3,2006,10,27.4 ,35 ,26.86 ,0.97 ,27.73,16.2,1.2,31.0
WM3,2007,6,27.7 ,170 ,39.79 ,0.32 ,123.23,9.9,3.9,23.5
WM3,2007,7,26.5 ,347 ,37.29 ,0.77 ,48.12,14.3,9.7,27.7
WM3,2007,11,23.6 ,106 ,18.93 ,0.87 ,21.71,4.4,3.4,32.9
WM3,2008,5,24.9 ,21 ,17.50 ,0.58 ,30.11,7.6,1.4,32.9
WM3,2008,7,26.6 ,389 ,35.64 ,0.39 ,92.00,10.1,2.9,23.6
WM3,2008,8,26.1 ,42 ,35.71 ,1.00 ,35.68,7.8,3.2,27.6
WM3,2008,9,28.2 ,14 ,32.93 ,1.10 ,30.00,9.3,2.8,29.0
WM3,2008,12,21.7 ,37 ,11.36 ,0.55 ,20.69,11.6,1.4,33.0
WM3,2009,1,19.2 ,7 ,37.43 ,1.45 ,25.76,4.1,1.2,32.9
WM3,2009,5,23.2 ,64 ,15.36 ,0.36 ,43.24,3.4,8.5,32.7
WM3,2009,6,26.9 ,7 ,43.79 ,0.26 ,169.53,2.1,11,26.4
WM3,2009,9,28.0 ,127 ,25.79 ,0.77 ,33.28,5,4.3,29.8
WM3,2010,7,28.0 ,177 ,34.14 ,0.45 ,75.54,2.2,1.8,23.3
WM3,2010,8,27.4 ,177 ,34.07 ,0.66 ,51.27,3.6,20,29.1
WM3,2010,10,26.3 ,35 ,15.00 ,0.48 ,30.97,6.1,1.4,31.5
WM3,2010,12,22.3 ,50 ,22.79 ,0.65 ,35.29,6.5,3.4,31.9
WM3,2011,5,25.4 ,21 ,39.71 ,0.36 ,111.83,7.8,3.7,29.3
WM3,2011,6,26.4 ,21 ,18.29 ,0.52 ,35.40,3.9,1.5,32.2
WM3,2011,7,24.9 ,85 ,35.00 ,0.90 ,38.72,2.2,2.4,29.7
WM3,2011,8,27.5 ,523 ,31.71 ,0.66 ,47.72,2.7,14,29.0
WM3,2011,10,26.6 ,4 ,98.86 ,1.03 ,95.69,6.4,0.7,32.6
WM3,2011,11,26.0 ,14 ,39.07 ,1.29 ,30.25,5,0.9,32.1
WM3,2012,6,27.2 ,7 ,28.29 ,0.77 ,36.50,3.1,0.9,30.2
WM3,2012,7,27.9 ,28 ,42.50 ,0.81 ,52.66,111.8,1.4,25.3
WM3,2012,8,27.1 ,50 ,29.86 ,0.74 ,40.21,3.7,1.9,29.4
WM3,2013,3,19.1 ,42 ,22.00 ,0.52 ,42.59,1.4,3.4,31.3
WM3,2013,5,24.2 ,70 ,29.71 ,0.55 ,54.14,1.5,3,29.6
WM3,2013,6,25.4 ,503 ,24.36 ,0.48 ,50.30,1.3,4.7,28.6
WM3,2013,7,28.1 ,14 ,49.86 ,1.13 ,44.12,1.4,1.8,25.6
WM3,2013,8,27.0 ,14 ,51.93 ,1.07 ,48.74,2.5,1.1,25.0
WM3,2013,12,20.8 ,7 ,18.50 ,0.81 ,22.92,3,1.5,32.8
WM3,2014,7,27.5 ,135 ,36.14 ,0.87 ,41.46,1.6,1.4,27.5
WM3,2014,8,26.7 ,7 ,38.71 ,0.94 ,41.35,2.9,1.1,28.4
WM3,2014,9,28.5 ,14 ,16.64 ,0.74 ,22.41,3.1,1.1,32.3
WM3,2014,10,27.8 ,35 ,20.21 ,0.77 ,26.09,7.3,1,32.0
WM3,2015,7,26.9 ,14 ,26.21 ,0.77 ,33.83,8.5,3.3,29.9
WM3,2015,8,26.3 ,3150 ,33.64 ,0.52 ,65.13,3.7,17,29.5
WM3,2015,11,26.6 ,135 ,17.43 ,0.52 ,33.74,4,3.1,31.8
WM3,2016,7,26.6 ,651 ,40.57 ,0.90 ,44.88,104.4,7.2,24.5
WM3,2016,10,28.7 ,4 ,19.50 ,0.81 ,24.16,4.5,1.1,31.0
WM3,2016,11,26.1 ,7 ,18.71 ,0.94 ,19.99,8.2,1.4,30.9
WM3,2017,4,21.5 ,11 ,23.86 ,0.48 ,49.26,3.6,1.3,31.4
WM3,2017,5,24.1 ,53 ,33.00 ,0.39 ,85.18,2.7,0.5,29.4
WM3,2017,7,27.0 ,219 ,48.14 ,0.16 ,298.23,2,19,22.7
WM3,2017,8,28.7 ,92 ,48.07 ,0.84 ,57.27,1.2,9.7,23.7
WM3,2017,10,29.6 ,57 ,28.71 ,0.84 ,34.21,3.5,1.5,28.5
WM3,2017,11,25.8 ,7 ,12.43 ,0.45 ,27.50,1.6,1.8,32.8
WM3,2019,3,21.3 ,9 ,21.57 ,0.65 ,33.41,1.32,1.1,31.7
WM3,2019,7,26.1 ,921 ,23.79 ,0.06 ,368.37,7.8,24,30.0
WM3,2019,8,28.7 ,113 ,45.14 ,0.65 ,69.91,15.02,4.6,24.5
WM3,2019,9,28.9 ,42 ,23.00 ,0.42 ,54.80,4.35,9.2,29.4
WM3,2019,11,26.5 ,14 ,16.21 ,0.68 ,23.92,3.13,0.5,32.5
WM3,2019,12,22.9 ,5 ,21.71 ,0.74 ,29.24,3.03,1.7,33.2
WM3,2020,4,21.5 ,30 ,21.43 ,0.58 ,36.87,2.57,0.6,31.7
WM3,2020,5,26.1 ,92 ,22.07 ,0.19 ,113.94,2.24,6.8,30.2
WM3,2020,7,26.8 ,142 ,35.57 ,0.19 ,183.63,1.72,15,26.2
WM3,2020,9,27.1 ,35 ,24.14 ,0.55 ,43.99,3.02,4.1,31.1
WM2,2000,5,25.8 ,35 ,18.14 ,0.65 ,28.12,5.8,6.9,30.0
WM2,2000,7,27.9 ,42 ,14.57 ,0.19 ,75.29,18.1,17,27.4
WM2,2000,12,20.6 ,11 ,15.93 ,0.74 ,21.47,13.3,0.8,32.0
WM2,2001,7,27.3 ,51 ,40.07 ,0.68 ,59.15,8.2,1.1,19.5
WM2,2001,8,28.0 ,35 ,23.57 ,0.61 ,38.46,7.8,19,25.0
WM2,2002,6,27.5 ,64 ,15.21 ,0.06 ,235.82,15.7,33,30.5
WM2,2002,8,25.5 ,35 ,15.43 ,0.19 ,79.71,8.2,9.5,30.5
WM2,2002,9,26.2 ,85 ,28.64 ,0.16 ,177.59,8.1,13,24.8
WM2,2002,12,21.6 ,14 ,21.29 ,0.90 ,23.57,15.7,1.3,33.3
WM2,2003,7,26.8 ,198 ,40.57 ,0.32 ,125.67,4.9,19,23.9
WM2,2003,8,26.4 ,99 ,23.00 ,0.58 ,39.58,3.3,13,30.4
WM2,2004,4,23.4 ,35 ,5.64 ,0.26 ,21.85,7.4,5.1,33.6
WM2,2004,6,30.4 ,227 ,53.50 ,0.10 ,552.37,10.3,26,27.5
WM2,2004,7,27.8 ,319 ,52.07 ,0.58 ,89.60,8.9,9.1,21.5
WM2,2004,9,26.8 ,49 ,20.36 ,0.90 ,22.52,8.3,12,30.9
WM2,2005,7,26.6 ,113 ,35.57 ,0.45 ,78.70,10.4,15,23.7
WM2,2005,8,26.8 ,21 ,22.93 ,0.68 ,33.82,11,1.6,29.4
WM2,2006,1,16.9 ,7 ,9.64 ,0.45 ,21.33,9.4,4.9,32.8
WM2,2006,7,28.6 ,78 ,52.86 ,0.29 ,181.91,8,17,17.8
WM2,2006,9,27.2 ,205 ,31.93 ,0.90 ,35.32,11.5,3.9,28.2
WM2,2006,10,27.3 ,5 ,27.86 ,1.00 ,27.83,16.2,0.9,30.8
WM2,2006,11,26.1 ,78 ,9.14 ,0.42 ,21.78,18.6,1.3,33.0
WM2,2007,6,27.7 ,149 ,45.86 ,0.32 ,142.04,10.2,5.6,21.4
WM2,2007,7,27.2 ,234 ,40.29 ,0.68 ,59.42,46.6,11,26.0
WM2,2008,4,20.1 ,7 ,16.07 ,0.71 ,22.63,11.2,1.8,33.2
WM2,2008,5,24.7 ,14 ,21.07 ,0.61 ,34.35,7.3,1.6,32.6
WM2,2008,7,27.3 ,998 ,34.36 ,0.26 ,133.02,11.1,4.2,20.8
WM2,2008,9,28.2 ,28 ,42.79 ,1.23 ,34.87,7.5,2,27.3
WM2,2009,5,23.0 ,40 ,20.36 ,0.55 ,37.09,2.7,10,32.7
WM2,2009,6,26.7 ,42 ,45.29 ,0.23 ,200.38,2.4,12,25.9
WM2,2009,9,29.0 ,49 ,42.93 ,0.74 ,57.81,3.5,4.1,30.2
WM2,2009,11,23.1 ,5 ,4.43 ,0.36 ,12.47,7.6,1.5,33.2
WM2,2010,6,25.6 ,7 ,26.21 ,0.55 ,47.76,1.1,3.6,30.7
WM2,2010,7,27.6 ,21 ,11.86 ,0.48 ,24.48,3.9,2.9,20.9
WM2,2010,8,27.5 ,85 ,30.14 ,0.13 ,233.41,4,13,26.3
WM2,2010,9,27.2 ,85 ,36.93 ,0.66 ,55.57,1.5,13,27.8
WM2,2010,11,22.9 ,28 ,20.71 ,0.90 ,22.91,2.7,2.1,32.3
WM2,2011,5,25.7 ,28 ,43.50 ,0.19 ,224.56,1.5,6.8,28.4
WM2,2011,6,26.6 ,78 ,29.71 ,0.23 ,131.48,3.6,5.5,32.0
WM2,2011,7,25.4 ,56 ,36.64 ,0.77 ,47.29,1.8,2,28.6
WM2,2011,8,27.0 ,397 ,33.36 ,0.06 ,516.60,2.4,15,28.9
WM2,2011,9,26.0 ,42 ,26.36 ,0.97 ,27.21,4.5,0.8,31.8
WM2,2012,6,27.0 ,7 ,26.29 ,0.68 ,38.77,3.9,0.9,30.0
WM2,2012,7,27.7 ,205 ,51.71 ,0.68 ,76.28,97.5,6.6,24.2
WM2,2012,8,27.3 ,14 ,32.50 ,0.68 ,47.94,1.5,1.9,28.5
WM2,2013,1,17.7 ,50 ,22.21 ,0.74 ,29.92,7.5,3.9,32.7
WM2,2013,2,18.2 ,7 ,28.36 ,0.71 ,39.92,1.4,0.5,31.6
WM2,2013,3,18.9 ,42 ,22.50 ,0.61 ,36.68,1.2,4.8,31.6
WM2,2013,4,21.2 ,14 ,25.86 ,0.39 ,66.74,1.8,0.3,31.9
WM2,2013,5,24.7 ,64 ,39.29 ,0.58 ,67.60,1.8,3,27.5
WM2,2013,6,26.0 ,248 ,16.43 ,0.13 ,127.21,1.1,9.8,27.4
WM2,2013,12,20.8 ,50 ,22.07 ,0.52 ,42.73,2.8,1.7,32.9
WM2,2014,3,17.6 ,21 ,20.36 ,0.84 ,24.25,1.4,1.3,33.2
WM2,2014,7,27.6 ,1040 ,36.00 ,0.87 ,41.30,1.8,8.2,27.4
WM2,2014,8,26.7 ,7 ,37.29 ,0.97 ,38.50,3.4,1.5,28.6
WM2,2014,9,28.7 ,28 ,17.93 ,0.74 ,24.14,1.8,3.3,32.3
WM2,2014,10,25.9 ,42 ,16.07 ,0.65 ,24.89,3.4,1.1,32.1
WM2,2015,6,27.5 ,50 ,62.71 ,0.81 ,77.70,6.9,3.7,22.9
WM2,2015,7,28.0 ,340 ,25.00 ,0.58 ,43.02,4.1,4.8,29.0
WM2,2015,8,27.0 ,1578 ,41.86 ,0.68 ,61.74,3.1,9.6,27.3
WM2,2015,11,26.7 ,14 ,16.21 ,0.52 ,31.39,4.7,2.5,31.5
WM2,2016,7,26.6 ,354 ,40.64 ,0.84 ,48.42,1.9,6.4,24.1
WM2,2016,10,28.3 ,16 ,20.43 ,0.77 ,26.36,6.5,1.6,30.7
WM2,2016,11,26.1 ,14 ,15.00 ,0.74 ,20.20,118,1,31.2
WM2,2017,4,21.4 ,14 ,24.64 ,0.58 ,42.40,3.1,1.8,31.4
WM2,2017,5,24.3 ,16 ,38.43 ,0.32 ,119.03,2.5,1.1,27.8
WM2,2017,6,27.1 ,14 ,37.43 ,0.74 ,50.40,1,2.3,28.3
WM2,2017,7,27.5 ,368 ,48.36 ,0.13 ,374.45,23,30,21.3
WM2,2017,8,29.1 ,56 ,51.07 ,0.65 ,79.09,1.5,8.3,20.8
WM2,2017,10,29.5 ,35 ,29.29 ,0.77 ,37.80,2.6,0.9,28.3
WM2,2019,7,26.9 ,142 ,36.57 ,0.10 ,377.59,2.02,31,27.4
WM2,2019,8,28.8 ,134 ,21.07 ,0.74 ,28.38,15.32,3.6,25.2
WM2,2019,9,27.8 ,212 ,40.93 ,0.16 ,253.54,2.68,9.3,28.9
WM2,2019,10,30.1 ,9 ,19.64 ,0.68 ,28.97,3.45,0.8,29.2
WM2,2020,4,21.4 ,7 ,23.79 ,0.58 ,40.93,3.22,0.7,30.9
WM2,2020,5,26.2 ,170 ,23.86 ,0.19 ,123.16,3.22,4.3,30.0
WM2,2020,6,27.5 ,318 ,39.79 ,0.26 ,154.04,2.52,5.7,26.1
WM2,2020,9,27.1 ,7 ,24.21 ,0.55 ,44.12,1.24,4.1,30.2
WM2,2020,10,28.3 ,35 ,11.57 ,0.45 ,25.60,3.83,1.3,32.3
SM6,2020,11,24.6 ,111 ,18.50 ,0.74 ,24.91,3.4,2.5,32.8
SM6,2000,6,27.9 ,283 ,30.00 ,0.06 ,465.00,6.7,19,21.4
SM6,2000,8,28.8 ,35 ,25.79 ,0.23 ,114.19,5.4,4.4,25.2
SM6,2001,5,27.7 ,42 ,5.86 ,0.13 ,45.39,5.9,9.5,28.9
SM6,2001,6,29.7 ,50 ,43.64 ,0.29 ,150.33,8,14,13.8
SM6,2001,7,27.7 ,234 ,42.57 ,0.71 ,59.99,6.9,10,17.4
SM6,2001,8,28.8 ,99 ,16.93 ,0.29 ,58.31,6.4,7.5,23.7
SM6,2002,4,25.1 ,28 ,4.36 ,0.71 ,6.14,5.9,1.5,32.9
SM6,2002,5,27.8 ,16 ,39.86 ,0.45 ,88.26,7.3,1,27.7
SM6,2002,6,29.0 ,716 ,59.00 ,0.45 ,130.64,9.5,33,18.5
SM6,2002,7,28.2 ,84 ,20.93 ,0.32 ,64.88,8.7,27,23.6
SM6,2002,8,29.2 ,14 ,14.57 ,0.06 ,225.86,7.2,0.4,24.7
SM6,2002,10,26.9 ,78 ,12.29 ,0.26 ,47.61,8.5,5.2,29.5
SM6,2002,11,23.0 ,57 ,5.14 ,0.32 ,15.94,10.6,4.8,33.0
SM6,2003,5,28.2 ,113 ,18.71 ,0.06 ,290.07,6.4,6.3,28.1
SM6,2003,7,27.4 ,92 ,18.64 ,0.32 ,57.79,4.3,8.7,29.3
SM6,2003,8,28.5 ,439 ,12.71 ,0.06 ,197.07,5.2,20,26.5
SM6,2003,9,28.1 ,233 ,7.71 ,0.13 ,59.79,7.2,15,31.0
SM6,2004,6,28.5 ,219 ,12.21 ,0.10 ,126.21,8.3,19,30.3
SM6,2004,7,27.0 ,155 ,31.29 ,0.29 ,107.76,8.3,5.2,25.5
SM6,2004,8,27.9 ,184 ,14.50 ,0.16 ,89.90,8.5,13,28.8
SM6,2004,9,27.4 ,14 ,3.71 ,0.19 ,19.19,7.4,2.3,32.3
SM6,2004,10,26.0 ,141 ,5.71 ,0.29 ,19.68,12,2.2,33.1
SM6,2005,4,22.3 ,71 ,2.29 ,0.23 ,10.12,4.4,8.1,33.6
SM6,2005,5,26.2 ,64 ,19.43 ,0.06 ,301.14,4.9,2.1,29.8
SM6,2005,6,28.1 ,227 ,61.50 ,0.52 ,119.16,13.8,14,15.8
SM6,2005,7,27.4 ,467 ,20.00 ,0.16 ,124.00,9.9,33,25.2
SM6,2006,1,17.6 ,92 ,2.07 ,0.13 ,16.05,6,3.9,32.8
SM6,2006,3,20.0 ,7 ,4.29 ,0.16 ,26.57,7.7,2.5,33.4
SM6,2006,6,27.0 ,14 ,47.21 ,0.81 ,58.55,4.4,2.9,23.4
SM6,2006,7,28.7 ,113 ,26.93 ,0.10 ,278.26,25.9,8.6,25.5
SM6,2006,8,29.3 ,149 ,17.21 ,0.06 ,266.82,10.3,4.5,24.9
SM6,2006,9,27.3 ,7 ,3.14 ,0.10 ,32.48,11.6,1.1,31.8
SM6,2006,12,23.1 ,35 ,2.86 ,0.16 ,17.71,14.5,2.5,33.3
SM6,2007,4,22.8 ,14 ,2.36 ,0.19 ,12.18,7.1,1.5,33.7
SM6,2007,5,24.5 ,21 ,6.36 ,0.23 ,28.15,9.5,2.7,33.2
SM6,2007,6,29.5 ,1260 ,32.14 ,0.23 ,142.35,14.2,7.7,22.6
SM6,2007,7,28.0 ,3469 ,33.43 ,0.23 ,148.04,10.3,29,24.4
SM6,2007,8,29.2 ,106 ,11.36 ,0.06 ,176.04,13.3,5.9,27.9
SM6,2007,10,27.6 ,78 ,8.57 ,0.45 ,18.98,13.5,2.4,32.6
SM6,2008,4,23.8 ,28 ,30.71 ,0.81 ,38.09,9.1,1.1,31.4
SM6,2008,5,25.1 ,113 ,15.21 ,0.39 ,39.30,6.1,5.3,32.7
SM6,2008,7,29.0 ,899 ,38.79 ,0.42 ,92.49,9.3,18,16.9
SM6,2008,8,29.8 ,227 ,21.00 ,0.13 ,162.75,5.5,15,25.3
SM6,2008,9,28.1 ,163 ,18.07 ,0.10 ,186.74,8.7,25,26.3
SM6,2009,5,25.5 ,7 ,1.71 ,0.23 ,7.59,1.3,1.1,33.3
SM6,2009,6,28.6 ,496 ,37.71 ,0.19 ,194.86,2.1,30,22.1
SM6,2009,7,29.0 ,1133 ,12.71 ,0.06 ,197.07,10.7,39,26.4
SM6,2009,8,29.4 ,637 ,15.57 ,0.06 ,241.36,9.1,22,26.3
SM6,2009,11,25.8 ,7 ,7.00 ,0.35 ,19.73,3.6,3.8,32.8
SM6,2010,7,29.2 ,446 ,32.93 ,0.16 ,204.16,1.4,9,23.4
SM6,2010,8,29.0 ,57 ,13.71 ,0.06 ,212.57,2.8,13,28.2
SM6,2011,5,25.3 ,14 ,17.00 ,0.19 ,87.83,0.9,2,31.7
SM6,2011,6,28.2 ,35 ,38.07 ,0.10 ,393.40,3.6,16,25.9
SM6,2011,7,26.3 ,665 ,33.36 ,0.32 ,103.41,1.9,24,26.9
SM6,2011,8,29.0 ,4793 ,20.43 ,0.06 ,316.64,1.1,11,27.2
SM6,2011,9,29.2 ,312 ,2.93 ,0.16 ,18.16,1,2.7,31.8
SM6,2011,12,21.5 ,14 ,13.43 ,0.48 ,27.75,2.4,0.7,31.9
SM6,2012,3,17.9 ,212 ,9.29 ,0.16 ,57.57,3.5,4.9,32.1
SM6,2012,5,27.5 ,156 ,52.00 ,0.13 ,403.00,0.7,2.5,22.1
SM6,2012,6,28.8 ,50 ,24.86 ,0.58 ,42.81,5,1.9,29.1
SM6,2012,7,28.0 ,920 ,27.50 ,0.10 ,284.17,2.1,24,24.9
SM6,2012,8,28.4 ,496 ,27.71 ,0.10 ,286.38,1.5,18,27.8
SM6,2013,2,19.1 ,21 ,5.64 ,0.39 ,14.58,1.1,3.1,32.1
SM6,2013,5,27.7 ,425 ,59.64 ,0.23 ,264.13,2.1,9.1,23.1
SM6,2013,6,29.0 ,566 ,25.14 ,0.13 ,194.86,1.3,30,26.1
SM6,2013,7,30.2 ,9415 ,22.00 ,0.19 ,113.67,1.7,11,23.5
SM6,2013,9,27.7 ,163 ,17.79 ,0.16 ,110.27,3.9,5.7,29.2
SM6,2013,10,27.9 ,92 ,2.64 ,0.19 ,13.65,1.3,1.1,32.0
SM6,2013,11,22.5 ,7 ,19.07 ,0.77 ,24.63,4.7,1,32.4
SM6,2013,12,19.6 ,28 ,3.14 ,0.23 ,13.92,13.9,1.3,32.9
SM6,2014,4,21.2 ,28 ,25.43 ,0.19 ,131.38,0.5,1.2,30.9
SM6,2014,6,27.8 ,396 ,9.00 ,0.10 ,93.00,0.8,5.9,29.5
SM6,2014,7,29.1 ,106 ,26.29 ,0.19 ,135.81,0.9,13,26.9
SM6,2014,8,30.1 ,9076 ,16.36 ,0.06 ,253.54,0.9,28,27.0
SM6,2014,9,28.7 ,156 ,10.07 ,0.39 ,26.02,1.9,6.1,32.8
SM6,2014,10,29.0 ,7 ,4.86 ,0.19 ,25.10,2.9,2.2,33.2
SM6,2015,6,28.2 ,1671 ,40.43 ,0.19 ,208.88,3.7,34,23.6
SM6,2015,7,29.0 ,779 ,38.00 ,0.26 ,147.25,3.8,40,20.3
SM6,2015,8,26.5 ,729 ,28.29 ,0.32 ,87.69,3.8,4.6,28.1
SM6,2016,5,25.1 ,70 ,2.71 ,0.06 ,42.07,2,4.1,32.3
SM6,2016,6,28.7 ,64 ,34.50 ,0.06 ,534.75,1.6,17,23.2
SM6,2016,7,28.6 ,3610 ,26.36 ,0.06 ,408.54,12.4,48,23.0
SM6,2017,5,26.6 ,255 ,28.00 ,0.26 ,108.50,3.3,2.5,29.3
SM6,2017,6,29.6 ,311 ,21.00 ,0.10 ,217.00,2.4,7.7,27.6
SM6,2017,8,28.0 ,283 ,17.79 ,0.16 ,110.27,2,53,26.7
SM6,2017,9,28.6 ,779 ,28.00 ,0.39 ,72.33,5.3,35,27.0
SM6,2017,10,29.4 ,42 ,12.00 ,0.58 ,20.67,3,0.6,31.4
SM6,2017,11,25.0 ,11 ,5.86 ,0.48 ,12.10,3.8,1,33.1
SM6,2017,12,21.1 ,14 ,8.50 ,0.55 ,15.50,2.2,0.7,33.2
SM6,2019,3,20.8 ,35 ,3.86 ,0.06 ,59.79,1.03,1.9,33.5
SM6,2019,6,28.8 ,1062 ,32.14 ,0.13 ,249.11,1.3,20,22.2
SM6,2019,7,29.8 ,8636 ,35.29 ,0.48 ,72.92,3.59,34,18.8
SM6,2019,9,27.9 ,5 ,13.50 ,0.29 ,46.50,3.93,0.4,30.7
SM6,2019,11,25.7 ,14 ,1.86 ,0.26 ,7.20,6.65,1.1,33.3
SM6,2020,3,20.2 ,42 ,10.07 ,0.39 ,26.02,2.9,1.7,32.7
SM6,2020,5,26.8 ,170 ,22.79 ,0.42 ,54.34,1.82,1.1,28.9
SM6,2020,6,28.9 ,121 ,63.36 ,0.55 ,115.53,2.93,4.6,14.0
SM6,2020,7,29.1 ,1345 ,33.07 ,0.48 ,68.35,1.91,20,20.5
SM6,2020,8,28.9 ,163 ,27.64 ,0.32 ,85.69,1.72,1.8,23.0
SM6,2020,9,27.9 ,779 ,15.57 ,0.19 ,80.45,2.27,6.1,30.5
SM6,2020,10,28.3 ,21 ,4.29 ,0.23 ,18.98,5.15,1.4,32.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
