Station,Year,Month,Temperature,Pse  (cell ml-1),DIN (¦ÌM),DIP (¦ÌM),N:P,Turbidity,Tchla,Salinity
WM2,2014,10,25.9 ,71,16.07 ,0.65 ,24.89,3.4,1.1,32.1
WM2,2015,2,16.9 ,99,16.50 ,0.52 ,31.94,2,4,31.7
WM2,2015,4,22.7 ,28,19.14 ,0.16 ,118.59,1.5,1.7,32.1
WM2,2015,5,25.6 ,14,40.14 ,0.42 ,95.64,3.8,5,28.6
WM2,2015,6,27.5 ,1402,62.71 ,0.81 ,77.70,6.9,3.7,22.9
WM2,2015,7,28.0 ,489,25.00 ,0.58 ,43.02,4.1,4.8,29.0
WM2,2015,8,27.0 ,843,41.86 ,0.68 ,61.74,3.1,9.6,27.3
WM2,2015,9,26.2 ,42,37.64 ,1.19 ,31.51,5.6,1,28.8
WM2,2015,10,28.3 ,85,29.43 ,0.94 ,31.43,5.5,1,29.9
WM2,2015,11,26.7 ,42,16.21 ,0.52 ,31.39,4.7,2.5,31.5
WM2,2015,12,23.7 ,28,23.21 ,0.71 ,32.68,4.2,0.9,32.4
WM2,2016,1,19.9 ,7,31.71 ,0.87 ,36.38,8.4,1.8,31.2
WM2,2016,6,27.0 ,50,37.43 ,0.58 ,64.41,1,5.3,26.9
WM2,2016,7,26.6 ,581,40.64 ,0.84 ,48.42,1.9,6.4,24.1
WM2,2016,8,25.5 ,17,30.00 ,0.94 ,32.04,31.1,1,29.0
WM2,2016,9,27.4 ,32,37.29 ,1.19 ,31.21,4.2,0.9,28.1
WM2,2016,10,28.3 ,5,20.43 ,0.77 ,26.36,6.5,1.6,30.7
WM2,2016,11,26.1 ,35,15.00 ,0.74 ,20.20,118,1,31.2
WM2,2016,12,22.8 ,5,15.07 ,0.55 ,27.46,5.3,1.7,31.1
WM2,2017,1,20.4 ,21,21.00 ,0.39 ,54.20,3.2,2.2,30.1
WM2,2017,3,17.3 ,27,20.57 ,0.81 ,25.49,4.2,1,31.3
WM2,2017,4,21.4 ,50,24.64 ,0.58 ,42.40,3.1,1.8,31.4
WM2,2017,5,24.3 ,80,38.43 ,0.32 ,119.03,2.5,1.1,27.8
WM2,2017,6,27.1 ,85,37.43 ,0.74 ,50.40,1,2.3,28.3
WM2,2017,7,27.5 ,5183,48.36 ,0.13 ,374.45,23,30,21.3
WM2,2017,8,29.1 ,312,51.07 ,0.65 ,79.09,1.5,8.3,20.8
WM2,2017,9,27.8 ,32,36.71 ,1.03 ,35.54,2.3,0.8,26.7
WM2,2017,10,29.5 ,135,29.29 ,0.77 ,37.80,2.6,0.9,28.3
WM2,2017,11,25.9 ,7,12.21 ,0.42 ,29.10,7.7,1.8,32.9
WM2,2017,12,22.3 ,5,20.57 ,1.00 ,20.55,4.8,0.9,32.9
WM2,2019,1,19.1 ,18,11.64 ,0.61 ,18.98,27.45,0.7,33.2
WM2,2019,2,20.2 ,106,29.14 ,0.36 ,82.06,1.69,5.4,29.8
WM2,2019,3,21.5 ,27,23.00 ,0.68 ,33.92,1.52,1.1,31.2
WM2,2019,4,23.9 ,5,30.57 ,0.65 ,47.35,0.54,3.5,29.7
WM2,2019,6,27.4 ,127,36.57 ,0.48 ,75.52,1.73,1.3,25.4
WM2,2019,7,26.9 ,12671,21.07 ,0.10 ,217.55,2.02,31,27.4
WM2,2019,8,28.8 ,127,40.93 ,0.74 ,55.12,15.32,3.6,25.2
WM2,2019,9,27.8 ,1274,19.64 ,0.16 ,121.68,2.68,9.3,28.9
WM2,2019,10,30.1 ,13,40.79 ,0.68 ,60.16,3.45,0.8,29.2
WM2,2019,11,26.5 ,42,17.07 ,0.71 ,24.03,2.98,0.7,32.6
WM2,2019,12,22.5 ,99,11.86 ,0.61 ,19.33,2.87,1.7,33.5
WM2,2020,3,21.1 ,11,19.29 ,0.39 ,49.78,2.24,0.4,31.8
WM2,2020,5,26.2 ,142,23.86 ,0.19 ,123.16,3.22,4.3,30.0
WM2,2020,6,27.5 ,4035,39.79 ,0.26 ,154.04,2.52,5.7,26.1
WM2,2020,7,27.6 ,743,36.64 ,0.39 ,94.58,8.17,16,24.8
WM2,2020,9,27.1 ,14,24.21 ,0.55 ,44.12,1.24,4.1,30.2
WM2,2020,10,28.3 ,28,11.57 ,0.45 ,25.60,3.83,1.3,32.3
WM2,2020,11,20.1 ,8,19.93 ,0.74 ,26.84,3.4,2.5,32.8
SM6,2000,2,15.6 ,10,11.71 ,0.71 ,16.51,8,2,31.1
SM6,2000,5,25.8 ,35,1.64 ,0.35 ,4.63,6,3.1,32.9
SM6,2000,6,27.9 ,1062,30.00 ,0.06 ,465.00,6.7,19,21.4
SM6,2000,7,29.9 ,71,12.50 ,0.19 ,64.58,1,27,24.2
SM6,2000,8,28.8 ,566,25.79 ,0.23 ,114.19,5.4,4.4,25.2
SM6,2000,9,27.3 ,21,7.71 ,0.74 ,10.40,16.9,2.9,32.2
SM6,2000,12,20.4 ,7,9.71 ,0.16 ,60.23,8.3,1.9,32.0
SM6,2001,3,19.8 ,64,10.79 ,0.48 ,22.29,9.3,4.7,33.0
SM6,2001,6,29.7 ,113,43.64 ,0.29 ,150.33,8,14,13.8
SM6,2001,7,27.7 ,297,42.57 ,0.71 ,59.99,6.9,10,17.4
SM6,2001,8,28.8 ,934,16.93 ,0.29 ,58.31,6.4,7.5,23.7
SM6,2001,9,27.5 ,71,5.86 ,0.42 ,13.97,10.3,7.8,32.1
SM6,2002,4,25.1 ,481,4.36 ,0.71 ,6.14,5.9,1.5,32.9
SM6,2002,5,27.8 ,11,39.86 ,0.45 ,88.26,7.3,1,27.7
SM6,2002,6,29.0 ,2082,59.00 ,0.45 ,130.64,9.5,33,18.5
SM6,2002,7,28.2 ,28,20.93 ,0.32 ,64.88,8.7,27,23.6
SM6,2002,8,29.2 ,57,14.57 ,0.06 ,225.86,7.2,0.4,24.7
SM6,2002,9,27.3 ,21,13.57 ,0.61 ,22.14,8.6,0.7,29.6
SM6,2002,10,26.9 ,35,12.29 ,0.26 ,47.61,8.5,5.2,29.5
SM6,2002,11,23.0 ,14,5.14 ,0.32 ,15.94,10.6,4.8,33.0
SM6,2002,12,19.4 ,14,12.29 ,0.52 ,23.80,18.2,1,33.5
SM6,2003,3,19.3 ,55,1.86 ,0.19 ,9.60,10.4,1.7,33.5
SM6,2003,4,20.9 ,21,2.00 ,0.23 ,8.86,11.3,0.9,34.0
SM6,2003,5,28.2 ,333,18.71 ,0.06 ,290.07,6.4,6.3,28.1
SM6,2003,6,26.6 ,107,25.93 ,0.58 ,44.65,5.2,1.5,28.9
SM6,2003,7,27.4 ,106,18.64 ,0.32 ,57.79,4.3,8.7,29.3
SM6,2003,8,28.5 ,13339,12.71 ,0.06 ,197.07,5.2,20,26.5
SM6,2003,9,28.1 ,2634,7.71 ,0.13 ,59.79,7.2,15,31.0
SM6,2003,11,24.4 ,16,3.29 ,0.29 ,11.32,11.4,1.8,33.4
SM6,2004,1,18.6 ,21,2.71 ,0.23 ,12.02,7.9,8,33.5
SM6,2004,4,23.4 ,92,35.36 ,0.68 ,52.19,8.9,2.4,31.5
SM6,2004,6,28.5 ,652,12.21 ,0.10 ,126.21,8.3,19,30.3
SM6,2004,7,27.0 ,1161,31.29 ,0.29 ,107.76,8.3,5.2,25.5
SM6,2004,8,27.9 ,5225,14.50 ,0.16 ,89.90,8.5,13,28.8
SM6,2004,9,27.4 ,496,3.71 ,0.19 ,19.19,7.4,2.3,32.3
SM6,2004,10,26.0 ,21,5.71 ,0.29 ,19.68,12,2.2,33.1
SM6,2004,11,23.3 ,14,9.71 ,0.55 ,17.71,13.6,2,33.1
SM6,2004,12,21.3 ,14,6.29 ,0.39 ,16.24,14.3,0.7,33.4
SM6,2005,3,16.2 ,21,16.71 ,0.58 ,28.79,8.3,1.1,32.6
SM6,2005,4,22.3 ,1310,2.29 ,0.23 ,10.12,4.4,8.1,33.6
SM6,2005,5,26.2 ,297,19.43 ,0.06 ,301.14,4.9,2.1,29.8
SM6,2005,6,28.1 ,5593,61.50 ,0.52 ,119.16,13.8,14,15.8
SM6,2005,7,27.4 ,737,20.00 ,0.16 ,124.00,9.9,33,25.2
SM6,2005,9,28.4 ,71,4.14 ,0.32 ,12.84,6,1.6,32.7
SM6,2005,11,24.2 ,14,2.79 ,0.23 ,12.34,16.6,1.1,33.3
SM6,2005,12,21.5 ,21,4.64 ,0.39 ,11.99,16.6,0.8,33.2
SM6,2006,1,17.6 ,28,2.07 ,0.13 ,16.05,6,3.9,32.8
SM6,2006,3,20.0 ,28,4.29 ,0.16 ,26.57,7.7,2.5,33.4
SM6,2006,4,24.8 ,21,21.00 ,0.39 ,54.25,8.8,2.9,31.5
SM6,2006,5,26.3 ,14,32.29 ,0.84 ,38.49,3.7,1.4,29.7
SM6,2006,6,27.0 ,42,47.21 ,0.81 ,58.55,4.4,2.9,23.4
SM6,2006,7,28.7 ,1112,26.93 ,0.10 ,278.26,25.9,8.6,25.5
SM6,2006,8,29.3 ,722,17.21 ,0.06 ,266.82,10.3,4.5,24.9
SM6,2006,9,27.3 ,21,3.14 ,0.10 ,32.48,11.6,1.1,31.8
SM6,2006,10,27.6 ,219,7.14 ,0.23 ,31.63,14.5,2.5,32.8
SM6,2007,2,19.9 ,7,3.14 ,0.19 ,16.24,9.8,2.1,33.8
SM6,2007,5,24.5 ,28,6.36 ,0.23 ,28.15,9.5,2.7,33.2
SM6,2007,6,29.5 ,10025,32.14 ,0.23 ,142.35,14.2,7.7,22.6
SM6,2007,7,28.0 ,9557,33.43 ,0.23 ,148.04,10.3,29,24.4
SM6,2007,8,29.2 ,1338,11.36 ,0.06 ,176.04,13.3,5.9,27.9
SM6,2007,9,27.9 ,63,20.57 ,0.68 ,30.37,10.1,0.9,31.2
SM6,2007,10,27.6 ,99,8.57 ,0.45 ,18.98,13.5,2.4,32.6
SM6,2007,12,20.3 ,14,14.93 ,0.58 ,25.71,9,0.9,31.8
SM6,2008,1,19.0 ,5,10.29 ,0.35 ,28.99,6.4,3.2,31.8
SM6,2008,3,15.6 ,70,8.57 ,0.23 ,37.96,10.4,7.3,32.3
SM6,2008,4,23.8 ,35,30.71 ,0.81 ,38.09,9.1,1.1,31.4
SM6,2008,5,25.1 ,268,15.21 ,0.39 ,39.30,6.1,5.3,32.7
SM6,2008,7,29.0 ,7,38.79 ,0.42 ,92.49,9.3,18,16.9
SM6,2008,8,29.8 ,622,21.00 ,0.13 ,162.75,5.5,15,25.3
SM6,2008,9,28.1 ,545,18.07 ,0.10 ,186.74,8.7,25,26.3
SM6,2008,10,27.6 ,57,3.36 ,0.26 ,13.01,4.2,1.8,32.6
SM6,2009,2,18.3 ,113,4.86 ,0.26 ,18.82,2.4,1.9,33.5
SM6,2009,3,20.6 ,7,2.86 ,0.26 ,11.07,13.7,1.6,33.8
SM6,2009,4,22.8 ,35,11.07 ,0.29 ,38.13,0.6,1.3,33.2
SM6,2009,6,28.6 ,97053,37.71 ,0.19 ,194.86,2.1,30,22.1
SM6,2009,7,29.0 ,41412,12.71 ,0.06 ,197.07,10.7,39,26.4
SM6,2009,8,29.4 ,2548,15.57 ,0.06 ,241.36,9.1,22,26.3
SM6,2009,9,29.7 ,42,1.79 ,0.06 ,27.68,1.7,1.7,31.0
SM6,2009,11,25.8 ,42,7.00 ,0.35 ,19.73,3.6,3.8,32.8
SM6,2009,12,20.8 ,11,6.36 ,0.39 ,16.42,6.8,1.2,33.2
SM6,2010,1,17.4 ,11,9.14 ,0.32 ,28.34,4,2.6,32.2
SM6,2010,5,24.1 ,14,13.93 ,0.26 ,53.97,1.5,2.1,32.3
SM6,2010,6,26.3 ,85,13.57 ,0.13 ,105.18,0.8,7.6,31.3
SM6,2010,7,29.2 ,269,32.93 ,0.16 ,204.16,1.4,9,23.4
SM6,2010,8,29.0 ,2266,13.71 ,0.06 ,212.57,2.8,13,28.2
SM6,2010,9,27.4 ,120,19.57 ,0.19 ,101.12,1.5,8.7,29.5
SM6,2010,10,25.4 ,5,6.14 ,0.23 ,27.20,5.4,1.1,32.4
SM6,2011,3,16.1 ,7,17.36 ,0.48 ,35.87,2.4,2.1,32.0
SM6,2011,4,19.9 ,7,15.14 ,0.19 ,78.24,0.8,3.1,33.5
SM6,2011,5,25.3 ,50,17.00 ,0.19 ,87.83,0.9,2,31.7
SM6,2011,6,28.2 ,807,38.07 ,0.10 ,393.40,3.6,16,25.9
SM6,2011,7,26.3 ,736,33.36 ,0.32 ,103.41,1.9,24,26.9
SM6,2011,8,29.0 ,566,20.43 ,0.06 ,316.64,1.1,11,27.2
SM6,2011,9,29.2 ,248,2.93 ,0.16 ,18.16,1,2.7,31.8
SM6,2011,10,26.4 ,32,18.29 ,0.90 ,20.24,5.8,1,32.9
SM6,2011,11,25.0 ,37,15.14 ,0.19 ,78.24,9.9,0.2,33.0
SM6,2012,3,17.9 ,163,9.29 ,0.16 ,57.57,3.5,4.9,32.1
SM6,2012,4,21.4 ,7,21.71 ,0.55 ,39.60,2.2,0.9,31.5
SM6,2012,6,28.8 ,241,24.86 ,0.58 ,42.81,5,1.9,29.1
SM6,2012,7,28.0 ,6371,27.50 ,0.10 ,284.17,2.1,24,24.9
SM6,2012,8,28.4 ,10689,27.71 ,0.10 ,286.38,1.5,18,27.8
SM6,2012,9,28.6 ,219,9.50 ,0.35 ,26.77,1.1,0.9,31.6
SM6,2012,10,26.9 ,106,22.29 ,0.74 ,30.04,2.1,2.1,31.6
SM6,2013,3,20.2 ,7,8.07 ,0.19 ,41.70,0.7,2.4,32.3
SM6,2013,4,20.6 ,28,17.79 ,0.45 ,39.38,1.8,1,31.7
SM6,2013,5,27.7 ,757,59.64 ,0.23 ,264.13,2.1,9.1,23.1
SM6,2013,6,29.0 ,850,25.14 ,0.13 ,194.86,1.3,30,26.1
SM6,2013,7,30.2 ,49057,22.00 ,0.19 ,113.67,1.7,11,23.5
SM6,2013,8,27.8 ,14,54.07 ,0.65 ,83.81,24.6,5,23.0
SM6,2013,9,27.7 ,219,17.79 ,0.16 ,110.27,3.9,5.7,29.2
SM6,2013,10,27.9 ,99,2.64 ,0.19 ,13.65,1.3,1.1,32.0
SM6,2013,11,22.5 ,21,19.07 ,0.77 ,24.63,4.7,1,32.4
SM6,2013,12,19.6 ,21,3.14 ,0.23 ,13.92,13.9,1.3,32.9
SM6,2014,1,16.7 ,42,10.50 ,0.45 ,23.25,3.4,1,32.8
SM6,2014,3,16.5 ,21,10.21 ,0.42 ,24.36,2.8,0.4,33.1
SM6,2014,4,21.2 ,135,25.43 ,0.19 ,131.38,0.5,1.2,30.9
SM6,2014,5,26.3 ,42,52.79 ,0.19 ,272.73,2.6,32,23.1
SM6,2014,6,27.8 ,7328,9.00 ,0.10 ,93.00,0.8,5.9,29.5
SM6,2014,7,29.1 ,1253,26.29 ,0.19 ,135.81,0.9,13,26.9
SM6,2014,8,30.1 ,3653,16.36 ,0.06 ,253.54,0.9,28,27.0
SM6,2014,9,28.7 ,347,10.07 ,0.39 ,26.02,1.9,6.1,32.8
SM6,2014,10,29.0 ,290,4.86 ,0.19 ,25.10,2.9,2.2,33.2
SM6,2015,1,17.6 ,7,9.07 ,0.26 ,35.15,5.8,0.9,31.7
SM6,2015,3,18.9 ,7,5.29 ,0.16 ,32.77,0.7,1.8,32.8
SM6,2015,4,22.4 ,7,12.93 ,0.29 ,44.53,1.5,2.3,33.0
SM6,2015,5,27.0 ,85,30.93 ,0.06 ,479.39,3,7.2,27.8
SM6,2015,6,28.2 ,3597,40.43 ,0.19 ,208.88,3.7,34,23.6
SM6,2015,7,29.0 ,1628,38.00 ,0.26 ,147.25,3.8,40,20.3
SM6,2015,8,26.5 ,184,28.29 ,0.32 ,87.69,3.8,4.6,28.1
SM6,2015,9,28.0 ,382,6.00 ,0.26 ,23.25,4.3,1,33.0
SM6,2015,10,28.2 ,113,30.93 ,0.94 ,33.06,4.5,1.2,30.0
SM6,2015,11,25.8 ,28,22.00 ,0.68 ,32.48,4.2,1.6,31.4
SM6,2016,4,22.4 ,14,35.43 ,0.58 ,61.02,1.3,1.9,27.9
SM6,2016,5,25.1 ,57,2.71 ,0.06 ,42.07,2,4.1,32.3
SM6,2016,6,28.7 ,354,34.50 ,0.06 ,534.75,1.6,17,23.2
SM6,2016,7,28.6 ,2832,26.36 ,0.06 ,408.54,12.4,48,23.0
SM6,2016,8,26.9 ,234,15.93 ,0.06 ,246.89,2.6,11,27.5
SM6,2016,9,27.5 ,57,8.36 ,0.35 ,23.55,5,1.2,29.4
SM6,2016,11,25.4 ,2,11.93 ,0.55 ,21.75,21,1.2,31.6
SM6,2016,12,21.3 ,64,8.14 ,0.10 ,84.14,5.4,3.3,30.7
SM6,2017,2,16.9 ,4,15.93 ,0.58 ,27.43,5.4,1,31.1
SM6,2017,3,17.9 ,4,10.21 ,0.45 ,22.62,24,1.2,32.2
SM6,2017,4,23.4 ,7,18.71 ,0.13 ,145.04,0.4,3,30.0
SM6,2017,5,26.6 ,142,28.00 ,0.26 ,108.50,3.3,2.5,29.3
SM6,2017,6,29.6 ,347,21.00 ,0.10 ,217.00,2.4,7.7,27.6
SM6,2017,7,28.1 ,28,31.29 ,0.13 ,242.46,1.2,43,21.7
SM6,2017,8,28.0 ,4106,17.79 ,0.16 ,110.27,2,53,26.7
SM6,2017,9,28.6 ,1345,28.00 ,0.39 ,72.33,5.3,35,27.0
SM6,2017,10,29.4 ,99,12.00 ,0.58 ,20.67,3,0.6,31.4
SM6,2017,11,25.0 ,11,5.86 ,0.48 ,12.10,3.8,1,33.1
SM6,2017,12,21.1 ,35,8.50 ,0.55 ,15.50,2.2,0.7,33.2
SM6,2019,1,18.6 ,5,10.64 ,0.55 ,19.41,2.82,0.2,32.5
SM6,2019,3,20.8 ,71,3.86 ,0.06 ,59.79,1.03,1.9,33.5
SM6,2019,4,24.9 ,13,28.00 ,0.48 ,57.87,0.74,1.4,30.1
SM6,2019,5,24.3 ,9,5.29 ,0.35 ,14.90,2.23,0.5,32.9
SM6,2019,6,28.8 ,6159,32.14 ,0.13 ,249.11,1.3,20,22.2
SM6,2019,7,29.8 ,6088,35.29 ,0.48 ,72.92,3.59,34,18.8
SM6,2019,8,29.1 ,48,18.79 ,0.06 ,291.18,2.99,19,27.5
SM6,2019,9,27.9 ,117,13.50 ,0.29 ,46.50,3.93,0.4,30.7
SM6,2019,10,28.5 ,4,4.57 ,0.26 ,17.71,4.58,1,32.8
SM6,2019,11,25.7 ,21,1.86 ,0.26 ,7.20,6.65,1.1,33.3
SM6,2019,12,21.1 ,21,5.64 ,0.32 ,17.49,12.97,0.7,33.5
SM6,2020,1,19.7 ,42,5.36 ,0.16 ,33.21,3.73,3,32.5
SM6,2020,3,20.2 ,78,10.07 ,0.39 ,26.02,2.9,1.7,32.7
SM6,2020,4,22.4 ,13,10.64 ,0.19 ,54.99,2.96,0.3,32.3
SM6,2020,5,26.8 ,50,22.79 ,0.42 ,54.34,1.82,1.1,28.9
SM6,2020,6,28.9 ,1140,63.36 ,0.55 ,115.53,2.93,4.6,14.0
SM6,2020,7,29.1 ,4672,33.07 ,0.48 ,68.35,1.91,20,20.5
SM6,2020,8,28.9 ,92,27.64 ,0.32 ,85.69,1.72,1.8,23.0
SM6,2020,9,27.9 ,1940,15.57 ,0.19 ,80.45,2.27,6.1,30.5
SM6,2020,10,28.3 ,28,4.29 ,0.23 ,18.98,5.15,1.4,32.7
SM6,2020,11,23.7 ,14,7.14 ,0.32 ,22.14,3.85,2,32.7
SM6,2020,12,20.0 ,15,14.29 ,0.45 ,31.63,4.69,0.7,31.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
